Source apportionment for 150 cities
commit eb21d3fb8ee65a2f44dc2b482efb077d3fdf8c40
emissions cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/1_base_emissions/BC_emi_PM25_Y.nc
concentrations cdf = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/2_base_concentrations/BC_conc_PM25_Y.nc
model folder = O:/Integrated_assessment/SHERPA/20170322_v18_SrrResults_PotencyBased/3_source_receptors/SR_PM25_Y_20170322_potencyBased.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_chimere;PM25;Cardiff;Cardiff_City;4;SOx;2.650148e-02;2.359095e-01;2.934366e-05;1.123375e+01;1.325074e-02;4.515709e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;5;NH3;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;5;NMVOC;4.602091e-04;4.096664e-03;1.075604e-06;1.123375e+01;2.301045e-04;2.139306e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;5;NOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;5;PPM;3.911849e-04;3.482229e-03;1.588524e-03;1.123375e+01;1.955924e-04;1.231284e-01
sherpa_chimere;PM25;Cardiff;Cardiff_City;5;SOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;6;NH3;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;6;NMVOC;1.303576e-03;1.160411e-02;1.021973e-06;1.123375e+01;6.517882e-04;6.377745e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;6;NOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;6;PPM;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;6;SOx;0.000000e+00;0.000000e+00;nan;1.123375e+01;0.000000e+00;nan
sherpa_chimere;PM25;Cardiff;Cardiff_City;7;NH3;5.782459e-02;5.147398e-01;9.257800e-04;1.123375e+01;2.891229e-02;3.123020e+01
sherpa_chimere;PM25;Cardiff;Cardiff_City;7;NMVOC;3.597087e-04;3.202036e-03;1.032635e-06;1.123375e+01;1.798543e-04;1.741703e+02
sherpa_chimere;PM25;Cardiff;Cardiff_City;7;NOx;1.166912e-01;1.038756e+00;7.285983e-05;1.123375e+01;5.834562e-02;8.007928e+02
